School;Cohort;Book ID;Topic;Bookclub;User ID;Name;Message;Translation  ;Message Time;Is Answer;Page;Book relevance;Type;Category;CategoryBroad
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;gremo se pogovarjati;Let's talk;2019-06-18 05:16:16 AM;No;4;No;S;CE;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Kip je to;This is a statue;2019-06-18 05:17:29 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Kdo je to jaz sem tara;Who is this I am Tara (girl's name);2019-06-18 05:17:59 AM;No;4;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;kaj kip;what statue;2019-06-18 05:18:58 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;gremo ven;let's go outside;2019-06-18 05:19:24 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Kam;where;2019-06-18 05:19:42 AM;No;4;No;Q;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;v park;to the park;2019-06-18 05:20:07 AM;No;4;No;A;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;No lahko ga bi zadusil tako kot druge;Well he could strangle him like the others;2019-06-18 05:20:19 AM;No;4;Yes;A;DA;D
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;v park kodeljevo;to park Kodeljevo;2019-06-18 05:20:35 AM;No;4;No;A;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Kdo to pise in ne ne moremo;who is writing this and no we can't;2019-06-18 05:20:39 AM;No;4;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;gregr;Gegr (a typo in a boy's name);2019-06-18 05:21:08 AM;No;4;No;S;IA;I
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;gregor;Gregor;2019-06-18 05:21:30 AM;No;4;No;A;IA;I
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Behind;Behind (probably a typo);2019-06-18 05:21:42 AM;No;4;No;S;CO;C
